cellid_a,cellid_b,cd_4_5,cd_3_5,cd_3_4,cd_2_5,cd_2_4,cd_2_3,cd_1_5,cd_1_4,cd_1_3,cd_1_2
1,1,0.941176470588235,0.941176470588235,1,0.941176470588235,1,1,0.941176470588235,1,1,1
2,2,1,1,1,1,1,1,1,1,1,1
3,3,1,0.885572139303483,0.885572139303483,1,1,0.885572139303483,1,1,0.885572139303483,1
4,4,0.809302325581395,0.983050847457627,0.820754716981132,0.809302325581395,1,0.820754716981132,0.983050847457627,0.820754716981132,1,0.820754716981132
5,5,1,1,1,1,1,1,1,1,1,1
6,6,1,1,1,1,1,1,1,1,1,1
7,7,1,1,1,1,1,1,1,1,1,1
8,8,1,1,1,1,1,1,1,1,1,1
9,9,1,1,1,1,1,1,1,1,1,1
10,10,0.931506849315068,1,0.931506849315068,0.931506849315068,1,0.931506849315068,0.931506849315068,1,0.931506849315068,1
11,11,0,0.652173913043478,0,0.769230769230769,0,0.72636815920398,0.303448275862069,0,0.172185430463576,0.271604938271605
11,1451,0,0,0,0,0,0.22,0,0,0.104,0
11,3316,0,0,0.735537190082645,0,0.837944664031621,0,0,0.295566502463054,0,0
12,12,1,0.993006993006993,0.993006993006993,1,1,0.993006993006993,0,0,0,0
13,13,1,1,1,1,1,1,1,1,1,1
14,14,1,1,1,1,1,1,1,1,1,1
15,15,1,1,1,1,1,1,1,1,1,1
16,16,1,0.906976744186046,0.906976744186046,0,0,0,1,1,0.906976744186046,0
16,3058,0,0,0,0,0,0,0,0,0,0.919540229885057
17,17,0.774509803921569,0.751515151515151,0.691891891891892,0.774509803921569,1,0.691891891891892,0.774509803921569,1,0.691891891891892,1
18,18,1,1,1,1,1,1,1,1,1,1
19,19,1,0.922448979591837,0.922448979591837,1,1,0.922448979591837,1,1,0.922448979591837,1
20,20,1,1,1,0.92,0.92,0.92,1,1,1,0.92
21,21,1,1,1,1,1,1,1,1,1,1
22,22,0.858085808580858,1,0.858085808580858,0.858085808580858,1,0.858085808580858,0.858085808580858,1,0.858085808580858,1
23,23,1,1,1,1,1,1,1,1,1,1
24,24,0.659090909090909,0.995744680851064,0.651428571428571,1,0.659090909090909,0.995744680851064,0.659090909090909,1,0.651428571428571,0.659090909090909
25,25,0.838323353293413,0.869047619047619,0.885906040268456,1,0.838323353293413,0.869047619047619,1,0.838323353293413,0.869047619047619,1
26,26,1,0.85,0.85,0.112359550561798,0.112359550561798,0,1,1,0.85,0.112359550561798
26,3047,0,0,0,0,0,0,0,0,0,0.784172661870504
27,27,1,1,1,1,1,1,1,1,1,1
28,28,1,0.982658959537572,0.982658959537572,1,1,0.982658959537572,1,1,0.982658959537572,1
29,29,0,0.751269035532995,0,1,0,0.751269035532995,0,0,0,0
29,3043,0,0,0.828571428571429,0,0.695187165775401,0,0,0,0,0
29,3048,0,0,0,0,0.186335403726708,0,0,0,0,0
29,3366,0,0,0,0,0,0.321428571428571,0,0,0,0
30,30,0.605405405405405,1,0.605405405405405,1,0.605405405405405,1,1,0.605405405405405,1,1
31,31,0.622950819672131,1,0.622950819672131,1,0.622950819672131,1,1,0.622950819672131,1,1
32,32,1,0.92,0.92,1,1,0.92,0.714859437751004,0.714859437751004,0.777292576419214,0.714859437751004
33,33,1,0.917431192660551,0.917431192660551,0.991452991452991,0.991452991452991,0.925925925925926,1,1,0.917431192660551,0.991452991452991
33,34,0,0,0,0,0,0.10062893081761,0,0,0.1125,0
34,33,0,0.1125,0.1125,0,0,0,0,0,0,0
34,34,1,0.725274725274725,0.725274725274725,0.824175824175824,0.824175824175824,0.801980198019802,1,1,0.725274725274725,0.824175824175824
35,35,0.647342995169082,0.920863309352518,0.679245283018868,0.647342995169082,1,0.679245283018868,0.663366336633663,0.981818181818182,0.695652173913043,0.981818181818182
36,36,1,0.801762114537445,0.801762114537445,1,1,0.801762114537445,1,1,0.801762114537445,1
37,37,1,0.746666666666667,0.746666666666667,1,1,0.746666666666667,0.589147286821705,0.589147286821705,0.766355140186916,0.589147286821705
38,38,1,0.696774193548387,0.696774193548387,0.765625,0.765625,0.818791946308725,1,1,0.696774193548387,0.765625
38,39,0,0,0,0,0,0,0,0,0.112359550561798,0
39,38,0,0.112359550561798,0.112359550561798,0,0,0,0,0,0,0
39,39,1,0.73469387755102,0.73469387755102,1,1,0.73469387755102,1,1,0.73469387755102,1
40,40,1,0.774193548387097,0.774193548387097,0.774193548387097,0.774193548387097,1,1,1,0.774193548387097,0.774193548387097
41,41,0.525,0.666666666666667,0.342342342342342,0.512820512820513,0.5,0.598130841121495,0,0,0,0
41,43,0,0,0.108108108108108,0,0,0,0,0,0,0
41,69,0,0,0,0,0,0.111111111111111,0,0,0,0
42,42,1,0.71264367816092,0.71264367816092,1,1,0.71264367816092,1,1,0.71264367816092,1
43,43,0,0,0.469565217391304,0,0,0,0,0,0,0
43,3225,0,0.211267605633803,0,0,0,0,0,0,0,0
43,3226,0.542056074766355,0.537313432835821,0,0,0,0,0,0,0,0
43,3313,0,0,0.339181286549708,0,0,0,0,0,0,0
44,44,1,1,1,1,1,1,1,1,1,1
45,45,1,0.9812734082397,0.9812734082397,0.933333333333333,0.933333333333333,0.912,1,1,0.9812734082397,0.933333333333333
45,80,0,0,0,0,0,0,0,0,0,0.147826086956522
46,46,1,0.686131386861314,0.686131386861314,1,1,0.686131386861314,1,1,0.686131386861314,1
47,47,1,0.996763754045307,0.996763754045307,1,1,0.996763754045307,1,1,0.996763754045307,1
48,48,1,1,1,1,1,1,1,1,1,1
49,49,1,0.816666666666667,0.816666666666667,1,1,0.816666666666667,1,1,0.816666666666667,1
50,50,1,0.837370242214533,0.837370242214533,1,1,0.837370242214533,1,1,0.837370242214533,1
51,51,1,0.866396761133603,0.866396761133603,0.787878787878788,0.787878787878788,0.878787878787879,1,1,0.866396761133603,0.787878787878788
52,52,1,0.888178913738019,0.888178913738019,1,1,0.888178913738019,1,1,0.888178913738019,1
53,53,1,1,1,1,1,1,1,1,1,1
54,54,1,0.488636363636364,0.488636363636364,1,1,0.488636363636364,0,0,0,0
54,55,0,0.48,0.48,0,0,0,0,0,0,0
55,54,0,0,0,0,0,0.48,0,0,0,0
55,55,1,0,0,1,1,0,0,0,0,0
56,56,1,0.850746268656716,0.850746268656716,1,1,0.850746268656716,0.979452054794521,0.979452054794521,0.870229007633588,0.979452054794521
57,57,1,1,1,1,1,1,1,1,1,1
