cellid_a,cellid_b,cd_4_5,cd_3_5,cd_3_4,cd_2_5,cd_2_4,cd_2_3,cd_1_5,cd_1_4,cd_1_3,cd_1_2
1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,1,1,1,1,1,1,1,1,1
3,3,0,1,0,1,0,1,1,0,1,1
3,3134,0,0,0.837209302325581,0,0.837209302325581,0,0,0.837209302325581,0,0
4,4,1,1,1,0.98936170212766,0.98936170212766,0.98936170212766,1,1,1,0.98936170212766
5,5,0.683673469387755,0.683673469387755,1,0.683673469387755,1,1,1,0.683673469387755,0.683673469387755,0.683673469387755
6,6,0.854166666666667,1,0.854166666666667,1,0.854166666666667,1,0.854166666666667,1,0.854166666666667,0.854166666666667
7,7,1,1,1,1,1,1,1,1,1,1
8,8,0,0,0.654411764705882,0,0.701754385964912,0.900523560209424,0,0,0,0
8,2630,0.664233576642336,0.888888888888889,0,0.901554404145078,0,0,0,0,0,0
8,2632,0.380952380952381,0,0,0,0,0,0,0,0,0
9,9,0,0,0,0.857142857142857,0,0,0,0,0,0
9,2497,0,0,0,0,0.831683168316832,0.886699507389163,0,0,0,0
10,10,0,0,0,0.673031026252983,0,0,0,0,0,0
10,2499,0,0,0,0,0,0.874172185430464,0,0,0,0
10,2500,0,0,0,0,0.853582554517134,0,0,0,0,0
11,11,1,0.817518248175182,0.817518248175182,1,1,0.817518248175182,1,1,0.817518248175182,1
12,12,1,1,1,1,1,1,1,1,1,1
13,13,0.875,0.875,1,0.875,1,1,0.875,1,1,1
14,14,0.771084337349398,0.771084337349398,1,1,0.771084337349398,0.771084337349398,1,0.771084337349398,0.771084337349398,1
15,15,0.772093023255814,0.772093023255814,1,0.772093023255814,1,1,0.772093023255814,1,1,1
16,16,0,0.71889400921659,0,0.497297297297297,0,0.492063492063492,0,0,0,0
16,2502,0,0,0.5,0,0,0,0,0,0,0
16,2503,0,0,0.236559139784946,0,0.459016393442623,0,0,0,0,0
17,17,0.821917808219178,0.821917808219178,1,0.821917808219178,1,1,0.821917808219178,1,1,1
18,18,1,0.81437125748503,0.81437125748503,1,1,0.81437125748503,1,1,0.81437125748503,1
19,19,1,0.7875,0.7875,1,1,0.7875,1,1,0.7875,1
20,20,0,1,0,1,0,1,1,0,1,1
20,2505,0,0,0.593103448275862,0,0.593103448275862,0,0,0.593103448275862,0,0
20,2506,0,0,0.556291390728477,0,0.556291390728477,0,0,0.556291390728477,0,0
21,21,1,1,1,1,1,1,1,1,1,1
22,22,1,0.891304347826087,0.891304347826087,0.891304347826087,0.891304347826087,1,1,1,0.891304347826087,0.891304347826087
23,23,1,1,1,1,1,1,1,1,1,1
24,24,1,1,1,1,1,1,1,1,1,1
25,25,0.992481203007519,0.965779467680608,0.957854406130268,0.992481203007519,1,0.957854406130268,1,0.992481203007519,0.965779467680608,0.992481203007519
26,26,0.891385767790262,0.99236641221374,0.884758364312268,0.891385767790262,1,0.884758364312268,0.891385767790262,1,0.884758364312268,1
27,27,0,0.916083916083916,0,0.858267716535433,0,0.856,0.905660377358491,0,0.904214559386973,0.951965065502183
