cellid_a,cellid_b,cd_3_4,cd_2_4,cd_2_3,cd_1_4,cd_1_3,cd_1_2
59,59,0.979683972911964,1,0.979683972911964,0.979683972911964,1,0.979683972911964
60,60,1,0.77027027027027,0.77027027027027,0.77027027027027,0.77027027027027,1
61,61,1,0.776315789473684,0.776315789473684,0.776315789473684,0.776315789473684,1
62,62,1,0.807843137254902,0.807843137254902,0.807843137254902,0.807843137254902,1
63,63,1,1,1,1,1,1
64,64,1,0.711340206185567,0.711340206185567,0.711340206185567,0.711340206185567,1
65,65,0.584362139917695,0.584362139917695,1,0.584362139917695,1,1
66,66,0.744,1,0.744,0,0,0
67,67,1,1,1,1,1,1
68,68,0.679841897233202,1,0.679841897233202,0.679841897233202,1,0.679841897233202
69,69,1,1,1,1,1,1
70,70,1,1,1,0,0,0
71,71,0.885993485342019,0,0,0.885993485342019,1,0
72,2091,0.778378378378378,0,0,0,0,0
73,72,0,0,0.455172413793103,0,0,0
73,73,0,0,0.471698113207547,0,0.145454545454545,0
73,2091,0,0.371859296482412,0,0,0,0
73,2092,0.773809523809524,0.346938775510204,0,0,0,0
74,74,0.853107344632768,0.853107344632768,1,0.853107344632768,1,1
75,75,0,0,1,0,0.579310344827586,0.579310344827586
75,2093,0.704,0.704,0,0.611111111111111,0,0
76,76,1,1,1,1,1,1
77,77,1,1,1,1,1,1
78,78,0,0.858156028368794,0,0.858156028368794,0,1
78,2078,0,0,0.405940594059406,0,0.405940594059406,0
78,2079,0,0,0.33160621761658,0,0.33160621761658,0
79,2080,0,0,0.63905325443787,0,0,0
79,2081,0,0,0.333333333333333,0,0,0
79,2094,0,0.666666666666667,0,0,0,0
79,2095,0,0.327272727272727,0,0,0,0
80,80,0,0.741176470588235,0,0.741176470588235,0,1
80,2556,0,0,0.808625336927224,0,0.808625336927224,0
81,81,0,0,0.650306748466258,0,0,0
81,2096,0.928909952606635,0.637770897832817,0,0,0,0
81,2097,0,0.493975903614458,0,0,0,0
81,2555,0,0,0.43765903307888,0,0,0
82,82,0,0,0.872274143302181,0,0.854415274463007,0.743455497382199
82,2098,0.894894894894895,0.898648648648649,0,0.771573604060914,0,0
83,83,1,1,1,0.996466431095406,0.996466431095406,0.996466431095406
84,84,0.877777777777778,0.877777777777778,1,0.877777777777778,1,1
85,85,0.769230769230769,1,0.769230769230769,1,0.769230769230769,1
86,86,0.973404255319149,0.973404255319149,1,0.973404255319149,1,1
87,2099,0.106194690265487,0,0,0,0,0
88,88,1,0.816901408450704,0.816901408450704,0.816901408450704,0.816901408450704,1
89,89,0,0,1,0,0.647398843930636,0.647398843930636
89,2101,0.83046683046683,0.83046683046683,0,0.73490813648294,0,0
90,90,1,1,1,1,1,1
91,91,1,1,1,1,1,1
92,92,1,0.814645308924485,0.814645308924485,0.814645308924485,0.814645308924485,1
93,93,0,0,1,0,0,0
93,2105,0.522613065326633,0.522613065326633,0,0,0,0
93,2106,0.495145631067961,0.495145631067961,0,0,0,0
94,94,1,0.656330749354005,0.656330749354005,0.980694980694981,0.980694980694981,0.664921465968586
95,95,1,1,1,1,1,1
96,96,1,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,1
97,97,1,1,1,1,1,1
98,99,0,0,0,0,0,0.389705882352941
98,2083,0,0,0,0,0.847457627118644,0
98,2108,0,0,0,0.717557251908397,0,0
99,99,0,0,0,0,0,0.681388012618297
99,2082,0,0,0.725552050473186,0,0.874015748031496,0
99,2083,0,0,0.357894736842105,0,0,0
99,2107,0,0.694006309148265,0,0.811023622047244,0,0
99,2108,0,0.351464435146443,0,0,0,0
100,100,1,0.669603524229075,0.669603524229075,0.669603524229075,0.669603524229075,1
101,101,1,1,1,1,1,1
102,102,0.795180722891566,1,0.795180722891566,1,0.795180722891566,1
103,103,0,0,0.815384615384615,0,0.815384615384615,1
103,2109,0.807547169811321,0.815686274509804,0,0.815686274509804,0,0
104,104,1,0.63265306122449,0.63265306122449,0.63265306122449,0.63265306122449,1
105,2084,0,0,0,0,0.311864406779661,0
105,2085,0,0,0,0,0.324503311258278,0
105,2113,0,0,0,0.486486486486487,0,0
105,2114,0,0,0,0.361842105263158,0,0
106,106,1,1,1,0.746913580246914,0.746913580246914,0.746913580246914
107,107,0,0,0.858895705521472,0,1,0.858895705521472
107,2115,0.177049180327869,0.151260504201681,0,0.177049180327869,0,0
107,2116,0.570694087403599,0.683229813664596,0,0.570694087403599,0,0
108,108,1,1,1,1,1,1
109,109,0,1,0,0.717948717948718,0,0.717948717948718
109,2086,0,0,0.537234042553192,0,0.376068376068376,0
109,2087,0,0,0.578823529411765,0,0.501577287066246,0
110,110,0,0,0,0,0,0.584392014519056
110,1757,0,0,0.488330341113106,0,0,0
110,2088,0,0,0.427672955974843,0,0.735714285714286,0
110,2089,0,0,0.157635467980296,0,0,0
110,2117,0,0.380952380952381,0,0.664150943396226,0,0
110,2118,0,0.111111111111111,0,0,0,0
110,2119,0,0.321285140562249,0,0,0,0
111,2092,0,0,0.442105263157895,0,0,0
111,2093,0,0,0.561797752808989,0,0,0
111,2121,0,0.414634146341463,0,0,0,0
111,2122,0,0.377358490566038,0,0,0,0
111,2123,0,0.130434782608696,0,0,0,0
112,112,0.64638783269962,0.64638783269962,1,0.64638783269962,1,1
113,113,0.776255707762557,0,0,1,0.776255707762557,0
113,1718,0,0,0,0,0,0.556485355648536
114,114,1,1,1,0.655737704918033,0.655737704918033,0.655737704918033
115,115,0,1,0,1,0,1
115,116,0,0,0.605839416058394,0,0.605839416058394,0
116,115,0.605839416058394,0,0,0,0,0
116,116,0.476190476190476,1,0.476190476190476,1,0.476190476190476,1
117,117,1,1,1,1,1,1
118,118,1,1,1,1,1,1
119,119,1,0.677966101694915,0.677966101694915,0.677966101694915,0.677966101694915,1
120,120,1,0.775757575757576,0.775757575757576,0.775757575757576,0.775757575757576,1
121,121,0.98876404494382,1,0.98876404494382,1,0.98876404494382,1
122,122,0,0,0.509803921568627,0,0.528301886792453,0.705882352941177
122,2125,0,0.361702127659574,0,0.469387755102041,0,0
122,2126,0.738461538461539,0.505263157894737,0,0.464646464646465,0,0
123,123,1,1,1,1,1,1
124,124,0.710659898477157,1,0.710659898477157,1,0.710659898477157,1
125,125,0.78169014084507,1,0.78169014084507,0.738170347003155,0.705084745762712,0.738170347003155
126,126,0.862745098039216,0.862745098039216,1,0.862745098039216,1,1
127,127,1,1,1,1,1,1
128,128,0,0,1,0,1,1
128,2822,0.773255813953488,0.773255813953488,0,0.773255813953488,0,0
129,129,1,1,1,1,1,1
