cellid_a,cellid_b,cd_3_4,cd_2_4,cd_2_3,cd_1_4,cd_1_3,cd_1_2
1,1,1,1,1,1,1,1
2,2,1,1,1,1,1,1
3,3,0.860215053763441,1,0.860215053763441,1,0.860215053763441,1
4,4,0.784452296819788,0.784452296819788,1,1,0.784452296819788,0.784452296819788
5,5,1,1,1,1,1,1
6,6,0.884892086330935,1,0.884892086330935,1,0.884892086330935,1
7,7,0.958333333333333,1,0.958333333333333,1,0.958333333333333,1
8,8,0.846473029045643,1,0.846473029045643,1,0.846473029045643,1
9,9,1,0.849785407725322,0.849785407725322,0.849785407725322,0.849785407725322,1
10,10,0.899521531100478,1,0.899521531100478,1,0.899521531100478,1
11,11,0.89,1,0.89,1,0.89,1
12,12,1,1,1,1,1,1
13,13,1,0.684410646387833,0.684410646387833,0,0,0
14,14,0.801526717557252,0.807692307692308,0.993589743589744,0.801526717557252,1,0.993589743589744
15,15,0.854054054054054,1,0.854054054054054,1,0.854054054054054,1
16,16,0.828402366863905,1,0.828402366863905,1,0.828402366863905,1
17,17,1,1,1,1,1,1
18,18,1,1,1,0.875,0.875,0.875
19,19,0.811594202898551,1,0.811594202898551,1,0.811594202898551,1
20,20,1,1,1,1,1,1
21,21,1,1,1,1,1,1
22,22,1,1,1,1,1,1
23,23,1,1,1,1,1,1
24,24,0.868131868131868,1,0.868131868131868,1,0.868131868131868,1
25,25,1,1,1,1,1,1
26,26,1,1,1,1,1,1
27,27,1,1,1,1,1,1
28,28,0.855421686746988,1,0.855421686746988,1,0.855421686746988,1
29,29,0.926070038910506,1,0.926070038910506,1,0.926070038910506,1
30,30,1,1,1,1,1,1
31,31,1,1,1,1,1,1
32,32,0,0,0,0,0,1
32,5425,0,0.683417085427136,0,0.683417085427136,0,0
32,5489,0,0,0.434285714285714,0,0.434285714285714,0
32,5490,0,0,0.367088607594937,0,0.367088607594937,0
32,5491,0,0,0.389937106918239,0,0.389937106918239,0
32,6275,0,0.461538461538462,0,0.461538461538462,0,0
33,33,0.946341463414634,1,0.946341463414634,1,0.946341463414634,1
34,34,1,1,1,1,1,1
35,35,0.975,1,0.975,1,0.975,1
36,36,0,1,0,1,0,1
36,5492,0,0,0.619565217391304,0,0.619565217391304,0
36,5493,0,0,0.607734806629834,0,0.607734806629834,0
37,37,0,0,1,0,0,0
37,4886,0.412017167381974,0.412017167381974,0,0,0,0
37,4887,0.195121951219512,0.195121951219512,0,0,0,0
37,4888,0.355555555555556,0.355555555555556,0,0,0,0
38,38,0.753424657534247,0.753424657534247,1,1,0.753424657534247,0.753424657534247
39,39,1,1,1,1,1,1
40,40,0.994219653179191,0.994219653179191,1,0.761467889908257,0.757990867579909,0.757990867579909
41,41,0.907975460122699,1,0.907975460122699,1,0.907975460122699,1
42,42,1,1,1,1,1,1
43,43,1,1,1,1,1,1
44,44,1,1,1,1,1,1
45,45,0.77124183006536,1,0.77124183006536,1,0.77124183006536,1
46,46,1,1,1,1,1,1
47,47,0.830188679245283,1,0.830188679245283,1,0.830188679245283,1
48,48,1,1,1,1,1,1
49,49,1,1,1,1,1,1
50,50,0.854771784232365,1,0.854771784232365,1,0.854771784232365,1
51,51,0.90625,1,0.90625,1,0.90625,1
52,52,1,1,1,1,1,1
53,53,0.759036144578313,1,0.759036144578313,1,0.759036144578313,1
54,54,0,0,0.90547263681592,0,0.812785388127854,0.880733944954128
54,4890,0.830917874396135,0.893203883495146,0,0.901785714285714,0,0
55,55,0.89622641509434,1,0.89622641509434,1,0.89622641509434,1
56,56,1,1,1,1,1,1
57,57,0.993939393939394,0.993939393939394,1,0.993939393939394,1,1
58,58,0.888888888888889,1,0.888888888888889,1,0.888888888888889,1
59,59,0.896907216494845,1,0.896907216494845,1,0.896907216494845,1
60,60,0.823529411764706,1,0.823529411764706,1,0.823529411764706,1
61,61,0.98936170212766,1,0.98936170212766,1,0.98936170212766,1
62,62,1,1,1,1,1,1
63,63,1,1,1,1,1,1
64,64,0.830645161290323,1,0.830645161290323,1,0.830645161290323,1
65,65,0.914728682170543,1,0.914728682170543,1,0.914728682170543,1
66,66,0.79136690647482,1,0.79136690647482,1,0.79136690647482,1
67,67,0.642857142857143,1,0.642857142857143,1,0.642857142857143,1
68,68,0.976190476190476,1,0.976190476190476,1,0.976190476190476,1
69,69,0,0,0.77124183006536,0,0,0
69,4891,0.194690265486726,0,0,0,0,0
69,4892,0.822784810126582,0.888888888888889,0,0,0,0
70,70,1,1,1,1,1,1
71,71,0.700854700854701,1,0.700854700854701,1,0.700854700854701,1
72,72,0.887323943661972,1,0.887323943661972,1,0.887323943661972,1
73,73,0.643478260869565,0.941176470588235,0.672268907563025,0.890909090909091,0.755905511811024,0.929824561403509
73,5996,0.204444444444444,0,0,0.109090909090909,0,0
74,74,0,0,0,0,0,0.828282828282828
74,4894,0,0.313513513513514,0,0.333333333333333,0,0
75,75,0.75968992248062,0.629370629370629,0.80952380952381,0.522727272727273,0.696517412935323,0.8
75,2537,0,0.202898550724638,0,0.310679611650485,0.185714285714286,0.25974025974026
76,76,0,0,0.888030888030888,0,0.876494023904382,0.897058823529412
76,4894,0.835249042145594,0.773049645390071,0,0.766423357664234,0,0
